frame_index,compression_rank,threshold,reconstruction_error,is_novel_predicted,is_novel_truth,gate_ms,ai_called,ai_infer_ms,ai_e2e_ms,cpu_percent,memory_mb,timestamp
92,10,0.0100,0.054518,1,0,36.9403,1,51.8193,88.7640,1073.10,388.60,1764816460.260292
93,10,0.0100,0.031803,1,0,37.8425,1,50.0586,87.9047,888.50,388.60,1764816460.359328
94,10,0.0100,0.039074,0,0,37.4501,0,0.0000,37.4522,0.00,388.60,1764816460.457858
95,10,0.0100,0.055455,1,0,39.6590,1,45.2528,84.9156,0.00,388.60,1764816460.505876
96,10,0.0100,0.042989,1,0,36.9246,1,46.6659,83.5938,0.00,388.60,1764816460.601424
97,10,0.0100,0.037220,0,1,34.4694,0,0.0000,34.4722,0.00,388.60,1764816460.695483
98,10,0.0100,0.058884,1,1,37.8737,1,48.3537,86.2310,0.00,388.60,1764816460.740365
99,10,0.0100,0.057380,0,1,37.2691,0,0.0000,37.2720,0.00,388.60,1764816460.836809
100,10,0.0100,0.050128,0,0,35.3286,0,0.0000,35.3308,0.00,388.60,1764816460.884206
101,10,0.0100,0.068792,0,0,35.4671,0,0.0000,35.4705,0.00,388.60,1764816460.930069
102,10,0.0100,0.064194,0,0,34.8539,0,0.0000,34.8561,155.50,388.60,1764816460.976051
103,10,0.0100,0.069068,1,0,32.2278,1,47.9689,80.2002,1051.60,388.60,1764816461.021028
104,10,0.0100,0.060762,0,0,36.7658,0,0.0000,36.7677,1075.20,388.60,1764816461.111705
105,10,0.0100,0.062445,0,0,35.3284,0,0.0000,35.3308,1083.40,388.60,1764816461.158726
106,10,0.0100,0.059203,0,0,34.2879,0,0.0000,34.2898,1076.20,388.60,1764816461.204212
107,10,0.0100,0.059780,0,0,33.8495,0,0.0000,33.8526,1083.70,388.60,1764816461.248727
108,10,0.0100,0.065414,0,0,33.0098,0,0.0000,33.0126,0.00,388.60,1764816461.292753
109,10,0.0100,0.070443,0,0,39.5882,0,0.0000,39.5906,0.00,388.60,1764816461.336283
110,10,0.0100,0.066541,0,1,50.2200,0,0.0000,50.2231,0.00,388.60,1764816461.386269
111,10,0.0100,0.056786,1,1,43.0954,1,48.9514,92.0506,1047.80,388.61,1764816461.447336
112,10,0.0100,0.062374,0,0,45.6200,0,0.0000,45.6235,1072.50,388.61,1764816461.549953
113,10,0.0100,0.070916,1,0,35.9313,1,48.8315,84.7669,1069.60,388.61,1764816461.605852
114,10,0.0100,0.074015,0,0,38.6477,0,0.0000,38.6498,1088.10,388.61,1764816461.700946
115,10,0.0100,0.083636,1,0,33.8321,1,47.6508,81.4872,1042.70,388.61,1764816461.749723
116,10,0.0100,0.092938,0,0,37.6852,0,0.0000,37.6875,1088.10,388.61,1764816461.841810
117,10,0.0100,0.079370,0,0,35.1019,0,0.0000,35.1043,1057.60,388.61,1764816461.889627
0,10,0.0500,0.139776,1,0,38.6488,1,49.0375,87.6884,1086.80,388.61,1764816461.936366
1,10,0.0500,0.123607,0,0,36.6056,0,0.0000,36.6077,1069.40,388.61,1764816462.034338
2,10,0.0500,0.135453,0,0,35.8062,0,0.0000,35.8102,1081.50,388.61,1764816462.081253
3,10,0.0500,0.136920,0,0,37.2851,0,0.0000,37.2875,1088.00,388.61,1764816462.127242
4,10,0.0500,0.111058,0,0,34.7195,0,0.0000,34.7228,1068.80,388.61,1764816462.174644
5,10,0.0500,0.077864,1,0,33.6893,1,47.4761,81.1684,1049.60,388.61,1764816462.219668
6,10,0.0500,0.070615,0,0,38.3513,0,0.0000,38.3546,1036.30,388.61,1764816462.311361
7,10,0.0500,0.077573,0,0,37.3065,0,0.0000,37.3094,1085.30,388.61,1764816462.360371
8,10,0.0500,0.160259,1,0,40.0727,1,48.4653,88.5413,0.00,388.61,1764816462.407839
9,10,0.0500,0.161678,0,0,36.7694,0,0.0000,36.7725,0.00,388.61,1764816462.506856
10,10,0.0500,0.165443,0,0,37.5540,0,0.0000,37.5562,0.00,388.61,1764816462.554102
11,10,0.0500,0.166489,0,0,37.1451,0,0.0000,37.1487,445.30,388.61,1764816462.602396
12,10,0.0500,0.159017,0,1,35.6658,0,0.0000,35.6691,0.00,388.61,1764816462.650162
13,10,0.0500,0.153990,0,1,31.7633,0,0.0000,31.7657,0.00,388.61,1764816462.696210
14,10,0.0500,0.178501,0,1,46.1595,0,0.0000,46.1624,0.00,388.61,1764816462.738305
15,10,0.0500,0.168873,0,0,41.6079,0,0.0000,41.6105,0.00,388.61,1764816462.795100
16,10,0.0500,0.058978,1,0,38.8594,1,46.7391,85.6018,0.00,388.61,1764816462.847908
17,10,0.0500,0.111261,1,0,40.9520,1,50.9348,91.8906,1087.40,388.61,1764816462.943706
18,10,0.0500,0.124624,0,0,35.0854,0,0.0000,35.0878,1087.40,388.61,1764816463.045719
19,10,0.0500,0.106114,0,0,39.3560,0,0.0000,39.3586,1083.50,388.61,1764816463.090946
20,10,0.0500,0.171362,1,0,35.2201,1,47.2436,82.4668,1044.70,388.61,1764816463.140477
21,10,0.0500,0.187924,0,0,36.6852,0,0.0000,36.6876,1077.50,388.61,1764816463.233588
22,10,0.0500,0.165069,0,0,36.3460,0,0.0000,36.3493,1083.70,388.61,1764816463.280503
23,10,0.0500,0.171648,0,0,41.6768,0,0.0000,41.6789,1084.80,388.61,1764816463.327045
24,10,0.0500,0.145362,0,0,37.1261,0,0.0000,37.1280,916.00,388.61,1764816463.378871
25,10,0.0500,0.104806,1,0,34.9863,1,50.9505,85.9411,0.00,388.61,1764816463.426387
26,10,0.0500,0.117379,0,0,39.2268,0,0.0000,39.2301,0.00,388.61,1764816463.522608
27,10,0.0500,0.096884,0,0,40.6883,0,0.0000,40.6904,1066.40,388.61,1764816463.572078
28,10,0.0500,0.084129,0,0,36.4542,0,0.0000,36.4578,1042.60,388.61,1764816463.623084
29,10,0.0500,0.089127,0,0,36.2952,0,0.0000,36.2978,0.00,388.61,1764816463.670138
30,10,0.0500,0.103399,0,0,39.1524,0,0.0000,39.1548,0.00,388.61,1764816463.716818
31,10,0.0500,0.111584,0,0,46.5994,0,0.0000,46.6022,0.00,388.62,1764816463.766732
32,10,0.0500,0.133703,0,0,41.8658,0,0.0000,41.8732,0.00,388.62,1764816463.823571
33,10,0.0500,0.145927,0,0,42.6319,0,0.0000,42.6342,0.00,388.62,1764816463.875942
34,10,0.0500,0.141405,0,1,41.9302,0,0.0000,41.9331,0.00,388.62,1764816463.929109
35,10,0.0500,0.130656,0,1,42.7115,0,0.0000,42.7139,0.00,388.62,1764816463.981911
36,10,0.0500,0.120753,0,0,40.2265,0,0.0000,40.2291,0.00,388.62,1764816464.035161
37,10,0.0500,0.119346,0,0,41.4960,0,0.0000,41.4984,0.00,388.62,1764816464.086324
38,10,0.0500,0.083951,0,0,40.7083,0,0.0000,40.7112,0.00,388.62,1764816464.138717
39,10,0.0500,0.091912,0,0,40.6127,0,0.0000,40.6153,0.00,388.62,1764816464.190352
40,10,0.0500,0.081434,0,0,41.8358,0,0.0000,41.8382,0.00,388.62,1764816464.241594
41,10,0.0500,0.048099,1,0,48.9771,1,52.4783,101.4593,1039.90,389.09,1764816464.294629
42,10,0.0500,0.050216,0,0,45.9130,0,0.0000,45.9154,466.00,389.09,1764816464.406675
43,10,0.0500,0.077458,0,0,37.6613,0,0.0000,37.6647,1064.40,389.09,1764816464.462729
44,10,0.0500,0.088890,0,0,40.6179,0,0.0000,40.6213,1087.70,389.09,1764816464.510747
45,10,0.0500,0.103991,1,0,37.5769,1,46.8349,84.4147,1071.30,389.10,1764816464.561490
46,10,0.0500,0.090615,0,0,38.6872,0,0.0000,38.6906,1052.20,389.10,1764816464.656192
47,10,0.0500,0.068539,0,0,38.7299,0,0.0000,38.7325,774.60,389.10,1764816464.705378
48,10,0.0500,0.056631,0,0,35.7246,0,0.0000,35.7270,1070.40,389.10,1764816464.754272
49,10,0.0500,0.070867,0,0,34.7195,0,0.0000,34.7214,1061.60,389.10,1764816464.800283
50,10,0.0500,0.109075,0,0,34.9712,0,0.0000,34.9741,0.00,389.10,1764816464.845522
51,10,0.0500,0.046763,1,0,45.5899,1,49.0334,94.6262,1085.80,389.10,1764816464.891297
52,10,0.0500,0.046037,0,0,44.4033,0,0.0000,44.4059,1085.60,389.10,1764816464.996076
53,10,0.0500,0.081414,0,0,45.1958,0,0.0000,45.1982,1067.30,389.10,1764816465.050643
54,10,0.0500,0.065958,0,0,36.9611,0,0.0000,36.9642,1043.20,389.10,1764816465.106150
55,10,0.0500,0.064342,0,0,36.5951,0,0.0000,36.5982,0.00,389.10,1764816465.153675
56,10,0.0500,0.059831,0,0,35.1465,0,0.0000,35.1486,0.00,389.10,1764816465.200656
57,10,0.0500,0.056296,0,1,39.1376,0,0.0000,39.1402,0.00,389.11,1764816465.246205
58,10,0.0500,0.061641,0,1,44.4312,0,0.0000,44.4334,0.00,389.11,1764816465.295772
59,10,0.0500,0.050130,0,1,40.9322,0,0.0000,40.9346,0.00,389.11,1764816465.350452
60,10,0.0500,0.063374,0,0,40.6532,0,0.0000,40.6556,0.00,389.11,1764816465.401935
61,10,0.0500,0.056920,0,0,39.9227,0,0.0000,39.9251,0.00,389.11,1764816465.453196
62,10,0.0500,0.062304,0,0,40.2031,0,0.0000,40.2052,0.00,389.11,1764816465.503723
63,10,0.0500,0.037763,0,0,40.2164,0,0.0000,40.2191,0.00,389.11,1764816465.554404
64,10,0.0500,0.100223,1,0,39.7670,1,47.5340,87.3044,1041.70,389.11,1764816465.605030
65,10,0.0500,0.080593,0,0,44.4455,0,0.0000,44.4486,0.00,389.11,1764816465.702893
66,10,0.0500,0.075581,0,0,39.2711,0,0.0000,39.2735,769.10,389.11,1764816465.757947
67,10,0.0500,0.077908,0,0,41.1766,0,0.0000,41.1799,1087.40,389.11,1764816465.807458
68,10,0.0500,0.059718,0,0,35.8114,0,0.0000,35.8133,0.00,389.11,1764816465.858763
69,10,0.0500,0.057751,0,0,33.2646,0,0.0000,33.2673,0.00,389.11,1764816465.904948
70,10,0.0500,0.072899,0,0,46.3858,0,0.0000,46.3886,0.00,389.11,1764816465.948543
71,10,0.0500,0.088271,0,0,43.1862,0,0.0000,43.1883,0.00,389.11,1764816466.005676
72,10,0.0500,0.063095,0,0,37.4150,0,0.0000,37.4172,0.00,389.11,1764816466.059279
73,10,0.0500,0.050802,0,0,41.1093,0,0.0000,41.1119,0.00,389.11,1764816466.107338
74,10,0.0500,0.071453,0,0,39.9916,0,0.0000,39.9938,0.00,389.11,1764816466.159057
75,10,0.0500,0.054720,0,0,40.8652,0,0.0000,40.8680,0.00,389.11,1764816466.209457
76,10,0.0500,0.132862,0,0,38.5659,0,0.0000,38.5683,0.00,389.11,1764816466.260718
77,10,0.0500,0.104398,0,0,46.3688,0,0.0000,46.3715,0.00,389.11,1764816466.309732
78,10,0.0500,0.104689,0,1,43.4382,0,0.0000,43.4406,0.00,389.11,1764816466.366295
79,10,0.0500,0.071113,0,1,39.9406,0,0.0000,39.9430,0.00,389.11,1764816466.420094
80,10,0.0500,0.078337,0,0,42.0377,0,0.0000,42.0401,0.00,389.11,1764816466.470567
81,10,0.0500,0.085403,0,0,43.7012,0,0.0000,43.7038,0.00,389.11,1764816466.523302
82,10,0.0500,0.096816,0,0,42.0535,0,0.0000,42.0558,0.00,389.11,1764816466.577271
83,10,0.0500,0.063682,0,0,41.6970,0,0.0000,41.6996,0.00,389.11,1764816466.629838
84,10,0.0500,0.070400,0,0,40.2355,0,0.0000,40.2377,0.00,389.11,1764816466.682160
85,10,0.0500,0.070866,0,0,48.0006,0,0.0000,48.0032,0.00,389.11,1764816466.732839
86,10,0.0500,0.046123,1,0,43.7987,1,46.9522,90.7540,1080.60,389.11,1764816466.791254
87,10,0.0500,0.053099,0,0,42.7427,0,0.0000,42.7451,0.00,389.11,1764816466.892208
88,10,0.0500,0.057483,0,0,37.8304,0,0.0000,37.8323,0.00,389.11,1764816466.945109
89,10,0.0500,0.042420,0,0,36.8006,0,0.0000,36.8032,0.00,389.11,1764816466.993125
90,10,0.0500,0.049605,0,0,34.3292,0,0.0000,34.3318,0.00,389.11,1764816467.040140
91,10,0.0500,0.036368,0,0,32.6653,0,0.0000,32.6676,0.00,389.11,1764816467.085315
92,10,0.0500,0.054518,0,0,39.5093,0,0.0000,39.5117,0.00,389.11,1764816467.128413
93,10,0.0500,0.031803,0,0,43.8609,0,0.0000,43.8640,0.00,389.11,1764816467.178347
94,10,0.0500,0.039074,0,0,42.4087,0,0.0000,42.4116,0.00,389.12,1764816467.232563
95,10,0.0500,0.055455,0,0,41.4379,0,0.0000,41.4405,0.00,389.12,1764816467.285508
96,10,0.0500,0.042989,0,0,42.7847,0,0.0000,42.7876,0.00,389.12,1764816467.337787
97,10,0.0500,0.037220,0,1,46.4163,0,0.0000,46.4199,0.00,389.12,1764816467.391084
